receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:14.494436-04:00,1787007194,494389162,1787007194494389162,,,,,473,,,0,0,473,AxisTarget,1,False,True,True,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:14.658394-04:00,1787007194,658362148,1787007194658362148,163.972986,,,,474,473,1,0,0,474,AxisTarget,1,False,True,True,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:14.819171-04:00,1787007194,819139976,1787007194819139976,160.777828,,,,475,474,1,0,0,475,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:14.979848-04:00,1787007194,979820829,1787007194979820829,160.680853,,,,476,475,1,0,0,476,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:15.141060-04:00,1787007195,141026937,1787007195141026937,161.206108,,,,477,476,1,0,0,477,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:15.304779-04:00,1787007195,304742741,1787007195304742741,163.715804,,,,478,477,1,0,0,478,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:15.461577-04:00,1787007195,461540850,1787007195461540850,156.798109,,,,479,478,1,0,0,479,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:15.556578-04:00,1787007195,556572079,1787007195556572079,95.031229,,,,480,479,1,0,0,480,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:15.717128-04:00,1787007195,717098887,1787007195717098887,160.526808,,,,481,480,1,0,0,481,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:15.875876-04:00,1787007195,875846879,1787007195875846879,158.747992,,,,482,481,1,0,0,482,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
11,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:16.034390-04:00,1787007196,34370864,1787007196034370864,158.523985,,,,483,482,1,0,0,483,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
12,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:16.196329-04:00,1787007196,196299176,1787007196196299176,161.928312,,,,484,483,1,0,0,484,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
13,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:16.356903-04:00,1787007196,356873967,1787007196356873967,160.574791,,,,485,484,1,0,0,485,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
14,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:16.516913-04:00,1787007196,516882753,1787007196516882753,160.008786,,,,486,485,1,0,0,486,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
15,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:16.677017-04:00,1787007196,676988626,1787007196676988626,160.105873,,,,487,486,1,0,0,487,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
16,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:16.832902-04:00,1787007196,832890049,1787007196832890049,155.901423,,,,488,487,1,0,0,488,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
17,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:16.992197-04:00,1787007196,992174770,1787007196992174770,159.284721,,,,489,488,1,0,0,489,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
18,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:17.154752-04:00,1787007197,154740803,1787007197154740803,162.566033,,,,490,489,1,0,0,490,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
19,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:17.311968-04:00,1787007197,311962575,1787007197311962575,157.221772,,,,491,490,1,0,0,491,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
20,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:53:17.472165-04:00,1787007197,472159132,1787007197472159132,160.196557,,,,492,491,1,0,0,492,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
