receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:10:44.745755-04:00,1787011844,745733361,1787011844745733361,,,,,1,,,0,0,1,AxisTarget,1,False,True,True,False,0.000439,-90.0,90.000603,5.8e-05,90.000092,0.075332,444.99939,-0.003494,809.995544,-179.92511,-0.000694,-179.999939,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:10:44.905687-04:00,1787011844,905663071,1787011844905663071,159.92971,,,,2,1,1,0,0,2,AxisTarget,1,False,True,False,False,0.000439,-90.0,90.000603,5.8e-05,90.000092,0.075332,444.99939,-0.003494,809.995544,-179.92511,-0.000694,-179.999939,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:10:45.062081-04:00,1787011845,62069308,1787011845062069308,156.406237,,,,3,2,1,0,0,3,AxisTarget,1,False,True,False,False,0.000439,-90.0,90.000603,5.8e-05,90.000092,0.075332,444.99939,-0.003494,809.995544,-179.92511,-0.000694,-179.999939,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:10:45.225541-04:00,1787011845,225517865,1787011845225517865,163.448557,,,,4,3,1,0,0,4,AxisTarget,1,False,True,False,False,0.000439,-90.0,90.000603,5.8e-05,90.000092,0.075332,444.99939,-0.003494,809.995544,-179.92511,-0.000694,-179.999939,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:10:45.331068-04:00,1787011845,331040732,1787011845331040732,105.522867,,,,5,4,1,0,0,5,AxisTarget,1,False,True,False,False,0.000439,-90.0,90.000603,5.8e-05,90.000092,0.075332,444.99939,-0.003494,809.995544,-179.92511,-0.000694,-179.999939,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:10:45.423608-04:00,1787011845,423596488,1787011845423596488,92.555756,,,,6,5,1,0,0,6,AxisTarget,1,False,True,False,False,0.000439,-90.0,90.000603,5.8e-05,90.000092,0.075332,444.99939,-0.003494,809.995544,-179.92511,-0.000694,-179.999939,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:10:45.513144-04:00,1787011845,513114640,1787011845513114640,89.518152,,,,7,6,1,0,0,7,AxisTarget,1,False,True,False,False,0.000439,-90.0,90.000603,5.8e-05,90.000092,0.075332,444.99939,-0.003494,809.995544,-179.92511,-0.000694,-179.999939,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:10:45.602080-04:00,1787011845,602044612,1787011845602044612,88.929972,,,,8,7,1,0,0,8,AxisTarget,1,False,True,False,False,0.000439,-90.0,90.000603,5.8e-05,90.000092,0.075332,444.99939,-0.003494,809.995544,-179.92511,-0.000694,-179.999939,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:10:45.691533-04:00,1787011845,691520497,1787011845691520497,89.475885,,,,9,8,1,0,0,9,AxisTarget,1,False,True,False,False,0.000439,-90.0,90.000603,5.8e-05,90.000092,0.075332,444.99939,-0.003494,809.995544,-179.92511,-0.000694,-179.999939,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:10:45.786040-04:00,1787011845,786023511,1787011845786023511,94.503014,,,,10,9,1,0,0,10,AxisTarget,1,False,True,False,False,0.000439,-90.0,90.000603,5.8e-05,90.000092,0.075332,444.99939,-0.003494,809.995544,-179.92511,-0.000694,-179.999939,False,True,
