receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:37:58.665057-04:00,1787099878,665042595,1787099878665042595,,,,,1,,,0,0,1,AxisTarget,1,False,True,True,False,-0.000769,-90.000137,90.004944,-0.005467,90.016266,-0.000241,444.972412,0.013606,809.964783,-179.999466,-0.021074,179.994537,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:37:58.857193-04:00,1787099878,857182505,1787099878857182505,192.13991,,,,2,1,1,0,0,2,AxisTarget,1,False,True,True,False,-0.000769,-90.000137,90.004944,-0.005467,90.016266,-0.000241,444.972412,0.013606,809.964783,-179.999466,-0.021074,179.994537,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:37:58.968641-04:00,1787099878,968632205,1787099878968632205,111.4497,,,,3,2,1,0,0,3,AxisTarget,1,False,True,True,False,-0.000769,-90.000137,90.004944,-0.005467,90.016266,-0.000241,444.972412,0.013606,809.964783,-179.999466,-0.021074,179.994537,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:37:59.076837-04:00,1787099879,76827556,1787099879076827556,108.195351,,,,4,3,1,0,0,4,AxisTarget,1,False,True,True,False,-0.000769,-90.000137,90.004944,-0.005467,90.016266,-0.000241,444.972412,0.013606,809.964783,-179.999466,-0.021074,179.994537,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:37:59.185043-04:00,1787099879,185031735,1787099879185031735,108.204179,,,,5,4,1,0,0,5,AxisTarget,1,False,True,True,False,-0.000769,-90.000137,90.004944,-0.005467,90.016266,-0.000241,444.972412,0.013606,809.964783,-179.999466,-0.021074,179.994537,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:37:59.356875-04:00,1787099879,356869582,1787099879356869582,171.837847,,,,6,5,1,0,0,6,AxisTarget,1,False,True,True,False,-0.000769,-90.000137,90.004944,-0.005467,90.016266,-0.000241,444.972412,0.013606,809.964783,-179.999466,-0.021074,179.994537,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:37:59.468560-04:00,1787099879,468549014,1787099879468549014,111.679432,,,,7,6,1,0,0,7,AxisTarget,1,False,True,True,False,-0.000769,-90.000137,90.004944,-0.005467,90.016266,-0.000241,444.972412,0.013606,809.964783,-179.999466,-0.021074,179.994537,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:37:59.577997-04:00,1787099879,577990970,1787099879577990970,109.441956,,,,8,7,1,0,0,8,AxisTarget,1,False,True,True,False,-0.000769,-90.000137,90.004944,-0.005467,90.016266,-0.000241,444.972412,0.013606,809.964783,-179.999466,-0.021074,179.994537,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:37:59.684976-04:00,1787099879,684969528,1787099879684969528,106.978558,,,,9,8,1,0,0,9,AxisTarget,1,False,True,True,False,-0.000769,-90.000137,90.004944,-0.005467,90.016266,-0.000241,444.972412,0.013606,809.964783,-179.999466,-0.021074,179.994537,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:37:59.797163-04:00,1787099879,797153666,1787099879797153666,112.184138,,,,10,9,1,0,0,10,AxisTarget,1,False,True,True,False,-0.000769,-90.000137,90.004944,-0.005467,90.016266,-0.000241,444.972412,0.013606,809.964783,-179.999466,-0.021074,179.994537,False,True,
