receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,bridge_safe_mode,bridge_allow_motion,unmapped_json
15,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:25.830555-04:00,1787007385,830531275,1787007385830531275,156.550783,,,,658,657,1,0,0,658,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
16,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:25.983844-04:00,1787007385,983814130,1787007385983814130,153.282855,,,,659,658,1,0,0,659,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
17,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:26.146246-04:00,1787007386,146228302,1787007386146228302,162.414172,,,,660,659,1,0,0,660,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
18,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:26.304982-04:00,1787007386,304928052,1787007386304928052,158.69975,,,,661,660,1,0,0,661,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
19,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:26.460124-04:00,1787007386,460083363,1787007386460083363,155.155311,,,,662,661,1,0,0,662,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
20,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:26.689053-04:00,1787007386,689031386,1787007386689031386,228.948023,,,,663,662,1,0,0,663,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
21,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:26.845095-04:00,1787007386,845061293,1787007386845061293,156.029907,,,,664,663,1,0,0,664,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
22,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:27.005523-04:00,1787007387,5500824,1787007387005500824,160.439531,,,,665,664,1,0,0,665,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
23,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:27.159778-04:00,1787007387,159756813,1787007387159756813,154.255989,,,,666,665,1,0,0,666,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
24,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:27.320048-04:00,1787007387,320009046,1787007387320009046,160.252233,,,,667,666,1,0,0,667,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
25,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:27.477131-04:00,1787007387,477102089,1787007387477102089,157.093043,,,,668,667,1,0,0,668,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
26,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:27.639474-04:00,1787007387,639459143,1787007387639459143,162.357054,,,,669,668,1,0,0,669,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
27,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:27.802172-04:00,1787007387,802143543,1787007387802143543,162.6844,,,,670,669,1,0,0,670,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
28,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:27.964029-04:00,1787007387,964005198,1787007387964005198,161.861655,,,,671,670,1,0,0,671,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
29,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:28.121470-04:00,1787007388,121449033,1787007388121449033,157.443835,,,,672,671,1,0,0,672,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
30,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:28.277916-04:00,1787007388,277888916,1787007388277888916,156.439883,,,,673,672,1,0,0,673,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
31,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:28.504202-04:00,1787007388,504191213,1787007388504191213,226.302297,,,,674,673,1,0,0,674,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
32,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:28.669134-04:00,1787007388,669104572,1787007388669104572,164.913359,,,,675,674,1,0,0,675,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
33,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:28.831049-04:00,1787007388,831018658,1787007388831018658,161.914086,,,,676,675,1,0,0,676,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
34,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:28.989375-04:00,1787007388,989363829,1787007388989363829,158.345171,,,,677,676,1,0,0,677,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
35,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:29.164161-04:00,1787007389,164130760,1787007389164130760,174.766931,,,,678,677,1,0,0,678,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
36,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:56:29.321278-04:00,1787007389,321272667,1787007389321272667,157.141907,,,,679,678,1,0,0,679,AxisTarget,1,False,True,False,False,6.000712,-89.731613,89.733086,-0.008317,90.059113,0.075392,444.599274,-46.723179,809.984253,174.074692,-0.060573,179.991608,False,True,
