receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:08.243632-04:00,1787444708,243623134,1787444708243623134,,,,,21953,,,0,0,21953,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6903,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:08.388207-04:00,1787444708,388191541,1787444708388191541,144.568407,,,,21954,21953,1,0,0,21954,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6903,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:08.535351-04:00,1787444708,535345401,1787444708535345401,147.15386,,,,21955,21954,1,0,0,21955,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6904,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:08.649275-04:00,1787444708,649249975,1787444708649249975,113.904574,,,,21956,21955,1,0,0,21956,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6904,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:08.760702-04:00,1787444708,760685693,1787444708760685693,111.435718,,,,21957,21956,1,0,0,21957,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6904,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:08.875251-04:00,1787444708,875244363,1787444708875244363,114.55867,,,,21958,21957,1,0,0,21958,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6904,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:09.059340-04:00,1787444709,59331302,1787444709059331302,184.086939,,,,21959,21958,1,0,0,21959,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6905,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:09.170268-04:00,1787444709,170257055,1787444709170257055,110.925753,,,,21960,21959,1,0,0,21960,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6905,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:09.284608-04:00,1787444709,284587718,1787444709284587718,114.330663,,,,21961,21960,1,0,0,21961,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6905,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:09.395274-04:00,1787444709,395263753,1787444709395263753,110.676035,,,,21962,21961,1,0,0,21962,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6905,False,True,
11,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:09.582154-04:00,1787444709,582148444,1787444709582148444,186.884691,,,,21963,21962,1,0,0,21963,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6906,False,True,
12,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:09.700313-04:00,1787444709,700282102,1787444709700282102,118.133658,,,,21964,21963,1,0,0,21964,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6906,False,True,
13,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:09.809207-04:00,1787444709,809199913,1787444709809199913,108.917811,,,,21965,21964,1,0,0,21965,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6906,False,True,
14,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:09.924421-04:00,1787444709,924411316,1787444709924411316,115.211403,,,,21966,21965,1,0,0,21966,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6906,False,True,
15,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:10.107333-04:00,1787444710,107327321,1787444710107327321,182.916005,,,,21967,21966,1,0,0,21967,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6907,False,True,
16,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:10.219096-04:00,1787444710,219090263,1787444710219090263,111.762942,,,,21968,21967,1,0,0,21968,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6907,False,True,
17,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:10.340123-04:00,1787444710,340095932,1787444710340095932,121.005669,,,,21969,21968,1,0,0,21969,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6907,False,True,
18,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:25:10.447123-04:00,1787444710,447113132,1787444710447113132,107.0172,,,,21970,21969,1,0,0,21970,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6907,False,True,
