receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:11:24.807707-04:00,1787443884,807698111,1787443884807698111,,,,,16039,,,0,0,16039,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,4789,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:11:24.991515-04:00,1787443884,991503018,1787443884991503018,183.804907,,,,16040,16039,1,0,0,16040,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,4790,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:11:25.103328-04:00,1787443885,103317495,1787443885103317495,111.814477,,,,16041,16040,1,0,0,16041,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,4790,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:11:25.213394-04:00,1787443885,213376619,1787443885213376619,110.059124,,,,16042,16041,1,0,0,16042,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,4790,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:11:25.319292-04:00,1787443885,319281103,1787443885319281103,105.904484,,,,16043,16042,1,0,0,16043,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,4790,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:11:25.500403-04:00,1787443885,500374028,1787443885500374028,181.092925,,,,16044,16043,1,0,0,16044,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,4791,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:11:25.609246-04:00,1787443885,609240612,1787443885609240612,108.866584,,,,16045,16044,1,0,0,16045,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,4791,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:11:25.723057-04:00,1787443885,723045512,1787443885723045512,113.8049,,,,16046,16045,1,0,0,16046,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,4791,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:11:25.835770-04:00,1787443885,835753691,1787443885835753691,112.708179,,,,16047,16046,1,0,0,16047,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,4791,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:11:26.015521-04:00,1787443886,15512261,1787443886015512261,179.75857,,,,16048,16047,1,0,0,16048,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,4792,False,True,
