receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:39:01.898432-04:00,1787445541,898409387,1787445541898409387,,,,,27951,,,0,0,27951,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,9054,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:39:02.055429-04:00,1787445542,55423100,1787445542055423100,157.013713,,,,27952,27951,1,0,0,27952,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,9054,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:39:02.117796-04:00,1787445542,117785224,1787445542117785224,62.362124,,,,27953,27952,1,0,0,27953,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,9054,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:39:02.230096-04:00,1787445542,230085989,1787445542230085989,112.300765,,,,27954,27953,1,0,0,27954,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,9054,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:39:02.409644-04:00,1787445542,409637070,1787445542409637070,179.551081,,,,27955,27954,1,0,0,27955,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,9055,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:39:02.524293-04:00,1787445542,524259422,1787445542524259422,114.622352,,,,27956,27955,1,0,0,27956,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,9055,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:39:02.635874-04:00,1787445542,635859908,1787445542635859908,111.600486,,,,27957,27956,1,0,0,27957,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,9055,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:39:02.745663-04:00,1787445542,745653782,1787445542745653782,109.793874,,,,27958,27957,1,0,0,27958,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,9055,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:39:02.933689-04:00,1787445542,933683357,1787445542933683357,188.029575,,,,27959,27958,1,0,0,27959,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,9056,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:39:03.046719-04:00,1787445543,46694467,1787445543046694467,113.01111,,,,27960,27959,1,0,0,27960,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,9056,False,True,
