receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T11:05:01.308682-04:00,1787411101,308666759,1787411101308666759,,,,,9911,,,0,0,9911,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2481,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T11:05:01.506576-04:00,1787411101,506555780,1787411101506555780,197.889021,,,,9912,9911,1,0,0,9912,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2482,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T11:05:01.624184-04:00,1787411101,624176994,1787411101624176994,117.621214,,,,9913,9912,1,0,0,9913,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2482,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T11:05:01.744144-04:00,1787411101,744130107,1787411101744130107,119.953113,,,,9914,9913,1,0,0,9914,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2482,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T11:05:01.864758-04:00,1787411101,864745749,1787411101864745749,120.615642,,,,9915,9914,1,0,0,9915,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2482,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T11:05:02.056439-04:00,1787411102,56422602,1787411102056422602,191.676853,,,,9916,9915,1,0,0,9916,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2483,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T11:05:02.178213-04:00,1787411102,178182100,1787411102178182100,121.759498,,,,9917,9916,1,0,0,9917,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2483,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T11:05:02.294243-04:00,1787411102,294224848,1787411102294224848,116.042748,,,,9918,9917,1,0,0,9918,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003857,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,2483,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T11:05:02.408224-04:00,1787411102,408217518,1787411102408217518,113.99267,,,,9919,9918,1,0,0,9919,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004939,0.059148,1.1e-05,674.675476,-2.331036,885.103638,2e-06,0.015858,0.004934,2483,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T11:05:02.584205-04:00,1787411102,584195438,1787411102584195438,175.97792,,,,9920,9919,1,0,0,9920,AxisTarget,1,False,False,False,False,-9e-06,-90.0,90.000008,-0.004944,1.170405,0.000162,674.559998,-2.330615,881.224792,9.3e-05,0.983706,0.004811,2484,False,True,
