receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:20.763169-04:00,1787006960,763163958,1787006960763163958,,,,,398,,,0,0,398,AxisTarget,1,False,True,True,False,1.553043,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.883728,-12.104453,809.984253,178.522354,-0.060573,179.991608,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:20.964112-04:00,1787006960,964079929,1787006960964079929,200.915971,,,,399,398,1,0,0,399,AxisTarget,1,False,True,False,False,1.553043,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.883728,-12.104453,809.984253,178.522354,-0.060573,179.991608,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:21.122773-04:00,1787006961,122760144,1787006961122760144,158.680215,,,,400,399,1,0,0,400,AxisTarget,1,False,True,False,False,1.553043,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.883728,-12.104453,809.984253,178.522354,-0.060573,179.991608,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:21.285043-04:00,1787006961,285025941,1787006961285025941,162.265797,,,,401,400,1,0,0,401,AxisTarget,1,False,True,False,False,1.553043,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.883728,-12.104453,809.984253,178.522354,-0.060573,179.991608,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:21.448893-04:00,1787006961,448863274,1787006961448863274,163.837333,,,,402,401,1,0,0,402,AxisTarget,1,False,True,False,False,1.553043,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.883728,-12.104453,809.984253,178.522354,-0.060573,179.991608,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:21.608130-04:00,1787006961,608123119,1787006961608123119,159.259845,,,,403,402,1,0,0,403,AxisTarget,1,False,True,False,False,1.553043,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.883728,-12.104453,809.984253,178.522354,-0.060573,179.991608,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:21.776827-04:00,1787006961,776820764,1787006961776820764,168.697645,,,,404,403,1,0,0,404,AxisTarget,1,False,True,False,False,1.553043,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.883728,-12.104453,809.984253,178.522354,-0.060573,179.991608,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:21.932066-04:00,1787006961,932038333,1787006961932038333,155.217569,,,,405,404,1,0,0,405,AxisTarget,1,False,True,False,False,1.553043,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.883728,-12.104453,809.984253,178.522354,-0.060573,179.991608,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:22.093543-04:00,1787006962,93521052,1787006962093521052,161.482719,,,,406,405,1,0,0,406,AxisTarget,1,False,True,False,False,1.553043,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.883728,-12.104453,809.984253,178.522354,-0.060573,179.991608,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:22.252896-04:00,1787006962,252884987,1787006962252884987,159.363935,,,,407,406,1,0,0,407,AxisTarget,1,False,True,False,False,1.553043,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.883728,-12.104453,809.984253,178.522354,-0.060573,179.991608,False,True,
