receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:40:24.925639-04:00,1787100024,925632985,1787100024925632985,,,,,1114,,,0,0,1114,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,0.0,90.0,0.0,445.0,0.0,810.0,-180.0,0.0,180.0,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:40:25.039276-04:00,1787100025,39265489,1787100025039265489,113.632504,,,,1115,1114,1,0,0,1115,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,0.0,90.0,0.0,445.0,0.0,810.0,-180.0,0.0,180.0,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:40:25.195536-04:00,1787100025,195530387,1787100025195530387,156.264898,,,,1116,1115,1,0,0,1116,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,0.0,90.0,0.0,445.0,0.0,810.0,-180.0,0.0,180.0,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:40:25.301898-04:00,1787100025,301882884,1787100025301882884,106.352497,,,,1117,1116,1,0,0,1117,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,0.0,90.0,0.0,445.0,0.0,810.0,-180.0,0.0,180.0,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:40:25.411364-04:00,1787100025,411347120,1787100025411347120,109.464236,,,,1118,1117,1,0,0,1118,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,0.0,90.0,0.0,445.0,0.0,810.0,-180.0,0.0,180.0,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:40:25.517196-04:00,1787100025,517184165,1787100025517184165,105.837045,,,,1119,1118,1,0,0,1119,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,0.0,90.0,0.0,445.0,0.0,810.0,-180.0,0.0,180.0,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:40:25.623913-04:00,1787100025,623905542,1787100025623905542,106.721377,,,,1120,1119,1,0,0,1120,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,0.0,90.0,0.0,445.0,0.0,810.0,-180.0,0.0,180.0,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:40:25.777051-04:00,1787100025,777044607,1787100025777044607,153.139065,,,,1121,1120,1,0,0,1121,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,0.0,90.0,0.0,445.0,0.0,810.0,-180.0,0.0,180.0,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:40:25.887111-04:00,1787100025,887105310,1787100025887105310,110.060703,,,,1122,1121,1,0,0,1122,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,0.0,90.0,0.0,445.0,0.0,810.0,-180.0,0.0,180.0,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-18T20:40:25.995002-04:00,1787100025,994995133,1787100025994995133,107.889823,,,,1123,1122,1,0,0,1123,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,0.0,90.0,0.0,445.0,0.0,810.0,-180.0,0.0,180.0,False,True,
