receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-19T20:48:26.093853-04:00,1787186906,93822690,1787186906093822690,,,,,757,,,0,0,757,AxisTarget,1,False,False,False,False,8.227229,-90.109604,90.110344,-0.004886,90.541588,-0.000978,438.81073,-63.439587,809.997314,171.771835,-0.542326,179.995117,189,True,False,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-19T20:48:26.270317-04:00,1787186906,270294783,1787186906270294783,176.472093,,,,758,757,1,0,0,758,AxisTarget,1,False,False,False,False,8.227229,-90.109604,90.110344,-0.004886,90.541588,-0.000978,438.81073,-63.439587,809.997314,171.771835,-0.542326,179.995117,190,True,False,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-19T20:48:26.386094-04:00,1787186906,386039806,1787186906386039806,115.745023,,,,759,758,1,0,0,759,AxisTarget,1,False,False,False,False,8.227229,-90.109604,90.110344,-0.004886,90.541588,-0.000978,438.81073,-63.439587,809.997314,171.771835,-0.542326,179.995117,190,True,False,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-19T20:48:26.505345-04:00,1787186906,505338732,1787186906505338732,119.298926,,,,760,759,1,0,0,760,AxisTarget,1,False,False,False,False,8.227229,-90.109604,90.110344,-0.004886,90.541588,-0.000978,438.81073,-63.439587,809.997314,171.771835,-0.542326,179.995117,190,True,False,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-19T20:48:26.616855-04:00,1787186906,616845281,1787186906616845281,111.506549,,,,761,760,1,0,0,761,AxisTarget,1,False,False,False,False,8.227229,-90.109604,90.110344,-0.004886,90.541588,-0.000978,438.81073,-63.439587,809.997314,171.771835,-0.542326,179.995117,190,True,False,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-19T20:48:26.799532-04:00,1787186906,799510624,1787186906799510624,182.665343,,,,762,761,1,0,0,762,AxisTarget,1,False,False,False,False,8.227229,-90.109604,90.110344,-0.004886,90.541588,-0.000978,438.81073,-63.439587,809.997314,171.771835,-0.542326,179.995117,191,True,False,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-19T20:48:26.912336-04:00,1787186906,912313729,1787186906912313729,112.803105,,,,763,762,1,0,0,763,AxisTarget,1,False,False,False,False,8.227229,-90.109604,90.110344,-0.004886,90.541588,-0.000978,438.81073,-63.439587,809.997314,171.771835,-0.542326,179.995117,191,True,False,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-19T20:48:27.021387-04:00,1787186907,21364386,1787186907021364386,109.050657,,,,764,763,1,0,0,764,AxisTarget,1,False,False,False,False,8.227229,-90.109604,90.110344,-0.004886,90.541588,-0.000978,438.81073,-63.439587,809.997314,171.771835,-0.542326,179.995117,191,True,False,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-19T20:48:27.132604-04:00,1787186907,132578825,1787186907132578825,111.214439,,,,765,764,1,0,0,765,AxisTarget,1,False,False,False,False,8.227229,-90.109604,90.110344,-0.004886,90.541588,-0.000978,438.81073,-63.439587,809.997314,171.771835,-0.542326,179.995117,191,True,False,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-19T20:48:27.311254-04:00,1787186907,311243564,1787186907311243564,178.664739,,,,766,765,1,0,0,766,AxisTarget,1,False,False,False,False,8.227229,-90.109604,90.110344,-0.004886,90.541588,-0.000978,438.81073,-63.439587,809.997314,171.771835,-0.542326,179.995117,192,True,False,
