receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:21:44.101358-04:00,1787444504,101341618,1787444504101341618,,,,,20488,,,0,0,20488,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6376,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:21:44.233917-04:00,1787444504,233888708,1787444504233888708,132.54709,,,,20489,20488,1,0,0,20489,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6376,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:21:44.331777-04:00,1787444504,331763390,1787444504331763390,97.874682,,,,20490,20489,1,0,0,20490,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6376,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:21:44.517817-04:00,1787444504,517806991,1787444504517806991,186.043601,,,,20491,20490,1,0,0,20491,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6377,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:21:44.625149-04:00,1787444504,625136103,1787444504625136103,107.329112,,,,20492,20491,1,0,0,20492,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6377,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:21:44.737278-04:00,1787444504,737268492,1787444504737268492,112.132389,,,,20493,20492,1,0,0,20493,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6377,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:21:44.848273-04:00,1787444504,848261036,1787444504848261036,110.992544,,,,20494,20493,1,0,0,20494,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6377,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:21:45.033195-04:00,1787444505,33184019,1787444505033184019,184.922983,,,,20495,20494,1,0,0,20495,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6378,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:21:45.145242-04:00,1787444505,145227011,1787444505145227011,112.042992,,,,20496,20495,1,0,0,20496,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6378,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T20:21:45.253230-04:00,1787444505,253218914,1787444505253218914,107.991903,,,,20497,20496,1,0,0,20497,AxisTarget,1,False,True,True,False,0.0051,-89.863602,90.060799,0.1525,-0.0188,-0.1752,526.200745,-0.046768,888.303894,172.743301,89.820168,172.748383,6378,False,True,
