receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T19:49:35.497946-04:00,1787442575,497922007,1787442575497922007,,,,,6792,,,0,0,6792,AxisTarget,1,True,True,True,False,10.594739,-57.878216,92.216011,-0.116932,55.477142,10.576962,622.952698,-116.385452,497.436523,179.916107,0.192561,179.937866,1971,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T19:49:35.701957-04:00,1787442575,701951212,1787442575701951212,204.029205,,,,6793,6792,1,0,0,6793,AxisTarget,1,True,True,True,False,10.595961,-57.823978,92.258438,-0.118072,55.372009,10.577493,622.965942,-116.400017,496.640259,179.914658,0.19344,179.937271,1971,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T19:49:35.714090-04:00,1787442575,714084208,1787442575714084208,12.132996,,,,6794,6793,1,0,0,6794,AxisTarget,1,True,True,True,False,10.597686,-57.747681,92.317886,-0.119663,55.235836,10.578197,622.983643,-116.421318,495.455872,179.912491,0.194747,179.936371,1971,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T19:49:35.823241-04:00,1787442575,823229804,1787442575823229804,109.145596,,,,6795,6794,1,0,0,6795,AxisTarget,1,True,True,True,False,10.599831,-57.65308,92.391434,-0.121626,55.062927,10.57909,623.001221,-116.44558,494.07666,179.909973,0.196269,179.935318,1971,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T19:49:36.010387-04:00,1787442576,10359814,1787442576010359814,187.13001,,,,6796,6795,1,0,0,6796,AxisTarget,1,True,True,True,False,10.604221,-57.460255,92.540642,-0.125591,54.715492,10.580876,623.028259,-116.496651,491.055267,179.904419,0.199601,179.93306,1972,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T19:49:36.199698-04:00,1787442576,199673890,1787442576199673890,189.314076,,,,6797,6796,1,0,0,6797,AxisTarget,1,True,True,True,False,10.608891,-57.255882,92.698311,-0.129769,54.350449,10.582747,623.039673,-116.546135,487.952362,179.898666,0.20302,179.930771,1973,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T19:49:36.310861-04:00,1787442576,310849722,1787442576310849722,111.175832,,,,6798,6797,1,0,0,6798,AxisTarget,1,True,True,True,False,10.611671,-57.134129,92.795586,-0.132346,54.125271,10.583901,623.038391,-116.575768,485.997986,179.89502,0.205173,179.929352,1973,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T19:49:36.425095-04:00,1787442576,425085486,1787442576425085486,114.235764,,,,6799,6798,1,0,0,6799,AxisTarget,1,True,True,True,False,10.61429,-57.016617,92.882278,-0.134626,53.927505,10.584908,623.031311,-116.601936,484.202148,179.891647,0.207151,179.92804,1973,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T19:49:36.612870-04:00,1787442576,612861380,1787442576612861380,187.775894,,,,6800,6799,1,0,0,6800,AxisTarget,1,True,True,True,False,10.617295,-56.890392,92.978378,-0.137176,53.707787,10.586019,623.016174,-116.631104,482.113983,179.887711,0.209449,179.926544,1974,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T19:49:36.727112-04:00,1787442576,727095291,1787442576727095291,114.233911,,,,6801,6800,1,0,0,6801,AxisTarget,1,True,True,True,False,10.618237,-56.850204,93.008568,-0.137917,53.643513,10.586338,623.009705,-116.640175,481.443665,179.886444,0.210186,179.926071,1974,False,True,
