receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:38.947610-04:00,1787014298,947603088,1787014298947603088,,,,,1323,,,0,0,1323,AxisTarget,1,False,True,True,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:39.100724-04:00,1787014299,100717931,1787014299100717931,153.114843,,,,1324,1323,1,0,0,1324,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:39.209508-04:00,1787014299,209492244,1787014299209492244,108.774313,,,,1325,1324,1,0,0,1325,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:39.320058-04:00,1787014299,320032801,1787014299320032801,110.540557,,,,1326,1325,1,0,0,1326,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:39.428670-04:00,1787014299,428658520,1787014299428658520,108.625719,,,,1327,1326,1,0,0,1327,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:39.536979-04:00,1787014299,536962866,1787014299536962866,108.304346,,,,1328,1327,1,0,0,1328,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:39.692559-04:00,1787014299,692552662,1787014299692552662,155.589796,,,,1329,1328,1,0,0,1329,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:39.799776-04:00,1787014299,799764061,1787014299799764061,107.211399,,,,1330,1329,1,0,0,1330,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:39.906380-04:00,1787014299,906372017,1787014299906372017,106.607956,,,,1331,1330,1,0,0,1331,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:40.013037-04:00,1787014300,13029918,1787014300013029918,106.657901,,,,1332,1331,1,0,0,1332,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
11,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:40.121122-04:00,1787014300,121115420,1787014300121115420,108.085502,,,,1333,1332,1,0,0,1333,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
12,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:40.279968-04:00,1787014300,279952007,1787014300279952007,158.836587,,,,1334,1333,1,0,0,1334,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
13,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:40.386833-04:00,1787014300,386822108,1787014300386822108,106.870101,,,,1335,1334,1,0,0,1335,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
14,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:40.492886-04:00,1787014300,492874347,1787014300492874347,106.052239,,,,1336,1335,1,0,0,1336,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
15,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:40.597983-04:00,1787014300,597970751,1787014300597970751,105.096404,,,,1337,1336,1,0,0,1337,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
16,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:40.708902-04:00,1787014300,708889974,1787014300708889974,110.919223,,,,1338,1337,1,0,0,1338,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
17,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T20:51:40.866875-04:00,1787014300,866863192,1787014300866863192,157.973218,,,,1339,1338,1,0,0,1339,AxisTarget,1,False,True,False,False,0.0004,-90.0,90.000603,0.0001,90.000099,0.0,444.99939,-0.003246,809.995605,179.999603,-0.000702,-179.999893,False,True,
