receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:48.783413-04:00,1787006988,783385799,1787006988783385799,,,,,436,,,0,0,436,AxisTarget,1,False,True,True,False,2.913843,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.470245,-22.713726,809.984253,177.16156,-0.060573,179.991608,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:48.951444-04:00,1787006988,951421940,1787006988951421940,168.036141,,,,437,436,1,0,0,437,AxisTarget,1,False,True,True,False,2.913843,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.470245,-22.713726,809.984253,177.16156,-0.060573,179.991608,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:49.048394-04:00,1787006989,48371675,1787006989048371675,96.949735,,,,438,437,1,0,0,438,AxisTarget,1,False,True,False,False,2.913843,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.470245,-22.713726,809.984253,177.16156,-0.060573,179.991608,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:49.206819-04:00,1787006989,206791674,1787006989206791674,158.419999,,,,439,438,1,0,0,439,AxisTarget,1,False,True,False,False,2.913843,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.470245,-22.713726,809.984253,177.16156,-0.060573,179.991608,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:49.369220-04:00,1787006989,369207230,1787006989369207230,162.415556,,,,440,439,1,0,0,440,AxisTarget,1,False,True,False,False,2.913843,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.470245,-22.713726,809.984253,177.16156,-0.060573,179.991608,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:49.531430-04:00,1787006989,531404308,1787006989531404308,162.197078,,,,441,440,1,0,0,441,AxisTarget,1,False,True,False,False,2.913843,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.470245,-22.713726,809.984253,177.16156,-0.060573,179.991608,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:49.693759-04:00,1787006989,693748517,1787006989693748517,162.344209,,,,442,441,1,0,0,442,AxisTarget,1,False,True,False,False,2.913843,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.470245,-22.713726,809.984253,177.16156,-0.060573,179.991608,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:49.853721-04:00,1787006989,853698643,1787006989853698643,159.950126,,,,443,442,1,0,0,443,AxisTarget,1,False,True,False,False,2.913843,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.470245,-22.713726,809.984253,177.16156,-0.060573,179.991608,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:50.012873-04:00,1787006990,12860843,1787006990012860843,159.1622,,,,444,443,1,0,0,444,AxisTarget,1,False,True,False,False,2.913843,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.470245,-22.713726,809.984253,177.16156,-0.060573,179.991608,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:50.173883-04:00,1787006990,173861632,1787006990173861632,161.000789,,,,445,444,1,0,0,445,AxisTarget,1,False,True,False,False,2.913843,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.470245,-22.713726,809.984253,177.16156,-0.060573,179.991608,False,True,
11,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-17T18:49:50.333109-04:00,1787006990,333080881,1787006990333080881,159.219249,,,,446,445,1,0,0,446,AxisTarget,1,False,True,False,False,2.913843,-89.731613,89.733086,-0.008317,90.059113,0.075392,446.470245,-22.713726,809.984253,177.16156,-0.060573,179.991608,False,True,
