receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:28:02.786715-04:00,1787408882,786702963,1787408882786702963,,,,,4725,,,0,0,4725,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,1183,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:28:02.984277-04:00,1787408882,984269973,1787408882984269973,197.56701,,,,4726,4725,1,0,0,4726,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,1184,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:28:03.104956-04:00,1787408883,104936994,1787408883104936994,120.667021,,,,4727,4726,1,0,0,4727,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,1184,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:28:03.225240-04:00,1787408883,225207354,1787408883225207354,120.27036,,,,4728,4727,1,0,0,4728,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,1184,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:28:03.341586-04:00,1787408883,341576229,1787408883341576229,116.368875,,,,4729,4728,1,0,0,4729,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,1184,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:28:03.531153-04:00,1787408883,531147177,1787408883531147177,189.570948,,,,4730,4729,1,0,0,4730,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,1185,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:28:03.642930-04:00,1787408883,642903949,1787408883642903949,111.756772,,,,4731,4730,1,0,0,4731,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,1185,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:28:03.756328-04:00,1787408883,756312028,1787408883756312028,113.408079,,,,4732,4731,1,0,0,4732,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,1185,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:28:03.866915-04:00,1787408883,866908219,1787408883866908219,110.596191,,,,4733,4732,1,0,0,4733,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,1185,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T10:28:04.042672-04:00,1787408884,42662384,1787408884042662384,175.754165,,,,4734,4733,1,0,0,4734,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,1186,False,True,
