receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,batch_seq,batch_consumed,batch_active,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T21:03:45.267454-04:00,1788224625,267438337,1788224625267438337,,,,,34940,,,0,0,34940,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,8765,False,True,88,1064,False,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T21:03:45.395964-04:00,1788224625,395950325,1788224625395950325,128.511988,,,,34941,34940,1,0,0,34941,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,8765,False,True,88,1064,False,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T21:03:45.524130-04:00,1788224625,524107862,1788224625524107862,128.157537,,,,34942,34941,1,0,0,34942,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,8765,False,True,88,1064,False,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T21:03:45.651679-04:00,1788224625,651662969,1788224625651662969,127.555107,,,,34943,34942,1,0,0,34943,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,8765,False,True,88,1064,False,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T21:03:45.869138-04:00,1788224625,869126982,1788224625869126982,217.464013,,,,34944,34943,1,0,0,34944,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,8766,False,True,88,1064,False,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T21:03:45.991785-04:00,1788224625,991777937,1788224625991777937,122.650955,,,,34945,34944,1,0,0,34945,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,8766,False,True,88,1064,False,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T21:03:46.117241-04:00,1788224626,117234553,1788224626117234553,125.456616,,,,34946,34945,1,0,0,34946,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,8766,False,True,88,1064,False,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T21:03:46.244815-04:00,1788224626,244795017,1788224626244795017,127.560464,,,,34947,34946,1,0,0,34947,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,8766,False,True,88,1064,False,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T21:03:46.462431-04:00,1788224626,462420951,1788224626462420951,217.625934,,,,34948,34947,1,0,0,34948,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,8767,False,True,88,1064,False,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-31T21:03:46.588996-04:00,1788224626,588983689,1788224626588983689,126.562738,,,,34949,34948,1,0,0,34949,AxisTarget,1,False,True,False,False,0.1935,-90.180397,89.82,0.0672,-0.0103,-0.0852,523.33429,-1.767401,893.156494,2.586455,89.628868,2.779885,8767,False,True,88,1064,False,
