receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,batch_seq,batch_consumed,batch_active,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:20.998707-04:00,1787962460,998702380,1787962460998702380,,,,,65701,,,0,0,65701,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16223,False,True,44,0,False,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:21.128458-04:00,1787962461,128444939,1787962461128444939,129.742559,,,,65702,65701,1,0,0,65702,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16223,False,True,44,0,False,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:21.335169-04:00,1787962461,335156991,1787962461335156991,206.712052,,,,65703,65702,1,0,0,65703,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16224,False,True,44,0,False,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:21.459337-04:00,1787962461,459327159,1787962461459327159,124.170168,,,,65704,65703,1,0,0,65704,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16224,False,True,44,0,False,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:21.582867-04:00,1787962461,582856525,1787962461582856525,123.529366,,,,65705,65704,1,0,0,65705,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16224,False,True,44,0,False,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:21.706662-04:00,1787962461,706641829,1787962461706641829,123.785304,,,,65706,65705,1,0,0,65706,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16224,False,True,44,0,False,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:21.923062-04:00,1787962461,923039142,1787962461923039142,216.397313,,,,65707,65706,1,0,0,65707,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16225,False,True,44,0,False,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:22.047854-04:00,1787962462,47845421,1787962462047845421,124.806279,,,,65708,65707,1,0,0,65708,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16225,False,True,44,0,False,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:22.172760-04:00,1787962462,172749323,1787962462172749323,124.903902,,,,65709,65708,1,0,0,65709,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16225,False,True,44,0,False,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:22.295695-04:00,1787962462,295689352,1787962462295689352,122.940029,,,,65710,65709,1,0,0,65710,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16225,False,True,44,0,False,
11,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:22.515090-04:00,1787962462,515080114,1787962462515080114,219.390762,,,,65711,65710,1,0,0,65711,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16226,False,True,44,0,False,
12,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:22.643614-04:00,1787962462,643575602,1787962462643575602,128.495488,,,,65712,65711,1,0,0,65712,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16226,False,True,44,0,False,
13,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:22.771663-04:00,1787962462,771652121,1787962462771652121,128.076519,,,,65713,65712,1,0,0,65713,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16226,False,True,44,0,False,
14,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:22.903388-04:00,1787962462,903382405,1787962462903382405,131.730284,,,,65714,65713,1,0,0,65714,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16226,False,True,44,0,False,
15,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-28T20:14:23.123802-04:00,1787962463,123784690,1787962463123784690,220.402285,,,,65715,65714,1,0,0,65715,AxisTarget,1,False,True,True,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,16227,False,True,44,0,False,
