receive_index,topic_name,message_type,receive_wall_time_iso8601,receive_ros_time_sec,receive_ros_time_nanosec,receive_ros_time_ns,delta_receive_ms,source_stamp_sec,source_stamp_nanosec,source_stamp_ns,sequence,prev_sequence,delta_seq,sequence_gap,estimated_missing,seq,mode,status,move_ready,limits_ok,delta_ok,move_executed,axis_actual.A1,axis_actual.A2,axis_actual.A3,axis_actual.A4,axis_actual.A5,axis_actual.A6,position_actual.X,position_actual.Y,position_actual.Z,position_actual.A,position_actual.B,position_actual.C,rx_counter,bridge_safe_mode,bridge_allow_motion,unmapped_json
1,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T09:59:52.902434-04:00,1787407192,902425065,1787407192902425065,,,,,1795,,,0,0,1795,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,449,False,True,
2,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T09:59:53.028038-04:00,1787407193,28022705,1787407193028022705,125.59764,,,,1796,1795,1,0,0,1796,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,449,False,True,
3,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T09:59:53.126708-04:00,1787407193,126687271,1787407193126687271,98.664566,,,,1797,1796,1,0,0,1797,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,449,False,True,
4,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T09:59:53.310766-04:00,1787407193,310757714,1787407193310757714,184.070443,,,,1798,1797,1,0,0,1798,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,450,False,True,
5,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T09:59:53.419806-04:00,1787407193,419772156,1787407193419772156,109.014442,,,,1799,1798,1,0,0,1799,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,450,False,True,
6,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T09:59:53.530652-04:00,1787407193,530646383,1787407193530646383,110.874227,,,,1800,1799,1,0,0,1800,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,450,False,True,
7,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T09:59:53.642637-04:00,1787407193,642631335,1787407193642631335,111.984952,,,,1801,1800,1,0,0,1801,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,450,False,True,
8,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T09:59:53.818701-04:00,1787407193,818694743,1787407193818694743,176.063408,,,,1802,1801,1,0,0,1802,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,451,False,True,
9,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T09:59:53.930917-04:00,1787407193,930898790,1787407193930898790,112.204047,,,,1803,1802,1,0,0,1803,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,451,False,True,
10,/kuka/axis_move/feedback_json,std_msgs/msg/String,2026-08-22T09:59:54.042409-04:00,1787407194,42402535,1787407194042402535,111.503745,,,,1804,1803,1,0,0,1804,AxisTarget,1,False,False,False,False,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,674.677551,-2.331047,885.201538,-1e-06,-0.008562,0.004937,451,False,True,
