time_s,dt_ms,instant_freq_hz,in_motion_window,A1_position_deg,A2_position_deg,A3_position_deg,A4_position_deg,A5_position_deg,A6_position_deg,A1_position_rad,A2_position_rad,A3_position_rad,A4_position_rad,A5_position_rad,A6_position_rad,A1_position_filtered_rad,A2_position_filtered_rad,A3_position_filtered_rad,A4_position_filtered_rad,A5_position_filtered_rad,A6_position_filtered_rad,A1_velocity_rad_s,A2_velocity_rad_s,A3_velocity_rad_s,A4_velocity_rad_s,A5_velocity_rad_s,A6_velocity_rad_s,A1_acceleration_rad_s2,A2_acceleration_rad_s2,A3_acceleration_rad_s2,A4_acceleration_rad_s2,A5_acceleration_rad_s2,A6_acceleration_rad_s2,A1_jerk_rad_s3,A2_jerk_rad_s3,A3_jerk_rad_s3,A4_jerk_rad_s3,A5_jerk_rad_s3,A6_jerk_rad_s3,A1_delta_q_rad,A2_delta_q_rad,A3_delta_q_rad,A4_delta_q_rad,A5_delta_q_rad,A6_delta_q_rad,X_mm,Y_mm,Z_mm,A_deg,B_deg,C_deg
0.0,,,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381215,1.5701667516271163,-8.644615785127909e-05,-0.00011974703997933091,3.089232776029961e-06,0.0,-3.6927133230851035e-15,4.9236177641134715e-15,-2.25385334660956e-19,-1.502568897739707e-19,9.391055610873168e-21,0.0,1.1416508939165855e-14,-4.671402424358979e-15,-2.9433226976013734e-20,-7.160509102697134e-19,7.188959448364528e-21,0.0,-3.586557074619672e-14,2.884371097203136e-14,-4.524152100095727e-19,1.1871420970110642e-18,-4.614229939394514e-20,,,,,,,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
0.180391424,180.391424,5.543500781944046,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381222,1.5701667516271172,-8.644615785127913e-05,-0.00011974703997933094,3.089232776029963e-06,0.0,-1.7763568394002505e-15,0.0,-5.421010862427522e-20,0.0,6.776263578034403e-21,0.0,7.687892602527647e-15,-2.5511099836991594e-15,-1.905418887045466e-20,-5.44160894896482e-19,7.6218740904287605e-22,0.0,-3.22939960104438e-14,1.1430994303522866e-14,5.705904337052651e-19,2.6954315049726228e-18,-6.640854372671485e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
0.29546624,115.074816,8.689998687462598,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381222,1.5701667516271174,-8.644615785127915e-05,-0.00011974703997933097,3.0892327760299637e-06,0.0,-8.881784197001252e-16,4.440892098500626e-15,-2.710505431213761e-19,-4.336808689942018e-19,1.3552527156068805e-20,0.0,1.9540114025580906e-15,-4.0106258387945837e-16,5.207204112434916e-20,-1.3305434292666416e-19,-9.106324943745872e-21,0.0,-1.9300374800291815e-14,-1.2572009561991459e-14,1.63303226690236e-18,3.8659781036590686e-18,-7.271157742272948e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
0.407711232,112.24499199999998,8.909083444898817,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,-1.7763568394002505e-15,5.329070518200751e-15,-2.710505431213761e-19,-3.2526065174565133e-19,8.470329472543003e-21,0.0,-5.708122300429581e-17,-1.1178688018495723e-15,2.383110026825222e-19,4.085657070537199e-19,-1.849953226909448e-20,0.0,9.603814467142277e-16,-2.445451006614003e-14,1.5518375729706744e-18,3.032062809777157e-18,-3.687527970321799e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
0.519745536,112.03430399999998,8.925837572035082,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,1.6022685616629627e-15,-5.963626466004462e-15,4.329433984860833e-19,7.3592691556268795e-19,-2.1661800400990595e-20,0.0,1.1811106791635069e-14,-1.681024407597997e-14,5.486561467907066e-19,1.2304610097763504e-18,2.0900256471117204e-21,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
0.698951936,179.2064000000001,5.5801578515053,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,-1.0842021724855044e-19,-1.0842021724855044e-19,6.776263578034403e-21,0.0,6.633757219866892e-15,-1.0850111543214011e-14,5.50986528222921e-19,5.985695053641484e-19,-1.4096562238138742e-20,0.0,1.1264026912962352e-14,3.601749309688129e-15,-8.789311861302941e-19,-8.585635351849169e-19,2.727198566047762e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
0.813260288,114.308352,8.748267143244266,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,8.881784197001252e-16,-8.881784197001252e-16,5.421010862427522e-20,1.0842021724855044e-19,-1.6940658945086007e-21,0.0,6.680812825657259e-15,-4.698007487463947e-15,1.1174789800461124e-19,2.7030519864375565e-19,-5.22833960328801e-21,0.0,-5.7013381136136085e-15,2.3372714938161468e-14,-1.5653678536598074e-18,-1.742710625326961e-18,4.327342902365643e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
0.923804928,110.54463999999997,9.04611928719475,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,8.881784197001252e-16,-8.881784197001252e-16,0.0,0.0,0.0,0.0,4.101084581182382e-15,-1.844364524845783e-16,-1.1753414506394542e-19,2.3223225120901885e-19,-7.964855545629734e-21,0.0,-2.9290917592907995e-14,3.7613037837594977e-14,-1.6252890583856884e-18,-1.7205091518913003e-18,4.563971641685844e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
1.0349632,111.15827199999995,8.996181588717036,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,1.7763568394002505e-15,-4.440892098500626e-16,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,2.627464423483372e-16,8.896650337236254e-16,-3.176850009009226e-20,8.43443683792139e-20,-5.6616462387622975e-21,0.0,-2.929538223349787e-14,2.5401423341467752e-14,-7.62003250253193e-19,-1.2497590125282493e-18,3.034141716794768e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
1.211824896,176.86169600000002,5.65413553424253,0,0.0,-89.963005,89.963928,-0.004953,-0.006861,0.000177,0.0,-1.5701506422381213,1.5701667516271172,-8.644615785127915e-05,-0.00011974703997933095,3.0892327760299633e-06,0.0,-1.5701506422381224,1.5701667516271183,-8.64461578512792e-05,-0.00011974703997933103,3.0892327760299654e-06,0.0,0.0,0.0,-1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0,-5.2771050623763066e-15,4.923627238628095e-15,-1.6121276664372337e-19,-1.7198472121868558e-19,7.769151949704774e-21,0.0,-7.140637135615232e-15,-3.614628463645372e-15,6.704555151942003e-19,-1.6266530029269397e-18,2.2652372820353265e-20,0.0,0.0,0.0,0.0,0.0,0.0,525.294312,-1e-06,890.001465,38.800598,89.992378,38.800598
